Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,of,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,B,ORG
0,Black,PROPN,"noun, proper singular",NNP,I,ORG
0,Nazarene,PROPN,"noun, proper singular",NNP,I,ORG
0,to,PART,"infinitival ""to""",TO,O,
0,safely,ADV,adverb,RB,O,
0,observe,VERB,"verb, base form",VB,O,
0,the,DET,determiner,DT,O,
0,Traslacion,PROPN,"noun, proper singular",NNP,B,FAC
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,its,PRON,"pronoun, possessive",PRP$,O,
0,related,VERB,"verb, past participle",VBN,O,
0,activities,NOUN,"noun, plural",NNS,O,
0,by,ADP,"conjunction, subordinating or preposition",IN,O,
0,attending,VERB,"verb, gerund or present participle",VBG,O,
0,virtual,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,events,NOUN,"noun, plural",NNS,O,
0,at,ADP,"conjunction, subordinating or preposition",IN,O,
0,home,NOUN,"noun, singular or mass",NN,O,
0,instead,ADV,adverb,RB,O,
0,of,ADP,"conjunction, subordinating or preposition",IN,O,
0,going,VERB,"verb, gerund or present participle",VBG,O,
0,to,ADP,"conjunction, subordinating or preposition",IN,O,
0,unsafe,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,gatherings,NOUN,"noun, plural",NNS,O,
0,.,PUNCT,"punctuation mark, sentence closer",.,O,
1,"
",SPACE,whitespace,_SP,O,
1,COVID-19,NOUN,"noun, singular or mass",NN,B,PERSON
1,cases,NOUN,"noun, plural",NNS,O,
1,have,AUX,"verb, non-3rd person singular present",VBP,O,
1,been,AUX,"verb, past participle",VBN,O,
1,increasing,VERB,"verb, gerund or present participle",VBG,O,
1,in,ADP,"conjunction, subordinating or preposition",IN,O,
1,the,DET,determiner,DT,B,DATE
1,last,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,I,DATE
1,10,NUM,cardinal number,CD,I,DATE
1,days,NOUN,"noun, plural",NNS,I,DATE
1,",",PUNCT,"punctuation mark, comma",",",O,
1,from,ADP,"conjunction, subordinating or preposition",IN,O,
1,97,NUM,cardinal number,CD,B,CARDINAL
1,cases,NOUN,"noun, plural",NNS,O,
1,last,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,B,DATE
1,26,NUM,cardinal number,CD,I,DATE
1,December,PROPN,"noun, proper singular",NNP,I,DATE
1,2021,NUM,cardinal number,CD,I,DATE
1,to,ADP,"conjunction, subordinating or preposition",IN,O,
1,more,ADJ,"adjective, comparative",JJR,B,CARDINAL
1,than,ADP,"conjunction, subordinating or preposition",IN,I,CARDINAL
1,"5,000",NUM,cardinal number,CD,I,CARDINAL
1,cases,NOUN,"noun, plural",NNS,O,
1,on,ADP,"conjunction, subordinating or preposition",IN,O,
1,4,NUM,cardinal number,CD,B,DATE
1,January,PROPN,"noun, proper singular",NNP,I,DATE
1,2022,NUM,cardinal number,CD,I,DATE
1,.,PUNCT,"punctuation mark, sentence closer",.,O,
2,"
",SPACE,whitespace,_SP,O,
2,The,DET,determiner,DT,O,
2,spike,NOUN,"noun, singular or mass",NN,O,
2,resulted,VERB,"verb, past tense",VBD,O,
2,from,ADP,"conjunction, subordinating or preposition",IN,O,
2,the,DET,determiner,DT,O,
2,increase,NOUN,"noun, singular or mass",NN,O,
2,in,ADP,"conjunction, subordinating or preposition",IN,O,
2,movement,NOUN,"noun, singular or mass",NN,O,
2,and,CCONJ,"conjunction, coordinating",CC,O,
2,social,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
2,mixing,NOUN,"noun, singular or mass",NN,O,
2,over,ADP,"conjunction, subordinating or preposition",IN,O,
2,the,DET,determiner,DT,O,
2,holiday,NOUN,"noun, singular or mass",NN,O,
2,period,NOUN,"noun, singular or mass",NN,O,
2,.,PUNCT,"punctuation mark, sentence closer",.,O,
3,"
",SPACE,whitespace,_SP,O,
3,The,DET,determiner,DT,O,
3,DOH,PROPN,"noun, proper singular",NNP,B,ORG
3,also,ADV,adverb,RB,O,
3,earlier,ADV,"adverb, comparative",RBR,O,
3,attributed,VERB,"verb, past tense",VBD,O,
3,the,DET,determiner,DT,O,
3,increase,NOUN,"noun, singular or mass",NN,O,
3,to,ADP,"conjunction, subordinating or preposition",IN,O,
3,the,DET,determiner,DT,O,
3,possibility,NOUN,"noun, singular or mass",NN,O,
3,of,ADP,"conjunction, subordinating or preposition",IN,O,
3,the,DET,determiner,DT,O,
3,local,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
3,spread,NOUN,"noun, singular or mass",NN,O,
3,of,ADP,"conjunction, subordinating or preposition",IN,O,
3,the,DET,determiner,DT,O,
3,Omicron,PROPN,"noun, proper singular",NNP,B,ORG
3,variant,NOUN,"noun, singular or mass",NN,O,
3,.,PUNCT,"punctuation mark, sentence closer",.,O,
4,"
",SPACE,whitespace,_SP,O,
4,This,DET,determiner,DT,O,
4,year,NOUN,"noun, singular or mass",NN,B,DATE
4,’s,PART,possessive ending,POS,O,
4,Traslacion,PROPN,"noun, proper singular",NNP,O,
4,—,PUNCT,"punctuation mark, colon or ellipsis",:,O,
4,the,DET,determiner,DT,O,
4,procession,NOUN,"noun, singular or mass",NN,O,
4,which,PRON,wh-determiner,WDT,O,
4,draws,VERB,"verb, 3rd person singular present",VBZ,O,
4,more,ADJ,"adjective, comparative",JJR,B,CARDINAL
4,than,ADP,"conjunction, subordinating or preposition",IN,I,CARDINAL
4,a,DET,determiner,DT,I,CARDINAL
4,million,NUM,cardinal number,CD,I,CARDINAL
4,devotees,NOUN,"noun, plural",NNS,O,
4,to,ADP,"conjunction, subordinating or preposition",IN,O,
4,Quiapo,PROPN,"noun, proper singular",NNP,B,ORG
4,Church,PROPN,"noun, proper singular",NNP,I,ORG
4,and,CCONJ,"conjunction, coordinating",CC,O,
4,surrounding,VERB,"verb, gerund or present participle",VBG,O,
4,areas,NOUN,"noun, plural",NNS,O,
4,in,ADP,"conjunction, subordinating or preposition",IN,O,
4,Manila,PROPN,"noun, proper singular",NNP,B,GPE
4,—,PUNCT,"punctuation mark, colon or ellipsis",:,O,
4,has,AUX,"verb, 3rd person singular present",VBZ,O,
4,been,AUX,"verb, past participle",VBN,O,
4,suspended,VERB,"verb, past participle",VBN,O,
4,due,ADP,"conjunction, subordinating or preposition",IN,O,
4,to,ADP,"conjunction, subordinating or preposition",IN,O,
4,the,DET,determiner,DT,O,
4,pandemic,NOUN,"noun, singular or mass",NN,O,
4,.,PUNCT,"punctuation mark, sentence closer",.,O,
5,"
",SPACE,whitespace,_SP,O,
5,The,DET,determiner,DT,B,ORG
5,National,PROPN,"noun, proper singular",NNP,I,ORG
5,Task,PROPN,"noun, proper singular",NNP,I,ORG
5,Force,PROPN,"noun, proper singular",NNP,I,ORG
5,on,ADP,"conjunction, subordinating or preposition",IN,O,
5,COVID-19,PROPN,"noun, proper singular",NNP,O,
5,also,ADV,adverb,RB,O,
5,issued,VERB,"verb, past tense",VBD,O,
5,a,DET,determiner,DT,O,
5,resolution,NOUN,"noun, singular or mass",NN,O,
5,for,ADP,"conjunction, subordinating or preposition",IN,O,
5,Quiapo,PROPN,"noun, proper singular",NNP,B,ORG
5,Church,PROPN,"noun, proper singular",NNP,I,ORG
5,to,PART,"infinitival ""to""",TO,O,
5,be,AUX,"verb, base form",VB,O,
5,closed,VERB,"verb, past participle",VBN,O,
5,from,ADP,"conjunction, subordinating or preposition",IN,O,
5,7,NUM,cardinal number,CD,B,DATE
5,to,PART,"infinitival ""to""",TO,I,DATE
5,9,NUM,cardinal number,CD,I,DATE
5,January,PROPN,"noun, proper singular",NNP,I,DATE
5,2022,NUM,cardinal number,CD,I,DATE
5,",",PUNCT,"punctuation mark, comma",",",O,
5,and,CCONJ,"conjunction, coordinating",CC,O,
5,for,ADP,"conjunction, subordinating or preposition",IN,O,
5,holy,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
5,masses,NOUN,"noun, plural",NNS,O,
5,by,ADP,"conjunction, subordinating or preposition",IN,O,
5,the,DET,determiner,DT,O,
5,church,NOUN,"noun, singular or mass",NN,O,
5,to,PART,"infinitival ""to""",TO,O,
5,instead,ADV,adverb,RB,O,
5,be,AUX,"verb, base form",VB,O,
5,aired,VERB,"verb, past participle",VBN,O,
5,online,ADV,adverb,RB,O,
5,.,PUNCT,"punctuation mark, sentence closer",.,O,
6,"
",SPACE,whitespace,_SP,O,
6,Virtual,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
6,versions,NOUN,"noun, plural",NNS,O,
6,of,ADP,"conjunction, subordinating or preposition",IN,O,
6,the,DET,determiner,DT,O,
6,usual,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
6,activities,NOUN,"noun, plural",NNS,O,
6,during,ADP,"conjunction, subordinating or preposition",IN,O,
6,the,DET,determiner,DT,B,EVENT
6,Feast,PROPN,"noun, proper singular",NNP,I,EVENT
6,of,ADP,"conjunction, subordinating or preposition",IN,I,EVENT
6,the,DET,determiner,DT,I,EVENT
6,Black,PROPN,"noun, proper singular",NNP,I,EVENT
6,Nazarene,PROPN,"noun, proper singular",NNP,I,EVENT
6,—,PUNCT,"punctuation mark, colon or ellipsis",:,O,
6,vigil,NOUN,"noun, singular or mass",NN,B,PERSON
6,",",PUNCT,"punctuation mark, comma",",",O,
6,“,PUNCT,opening quotation mark,``,O,
6,pahalik,PROPN,"noun, proper singular",NNP,O,
6,”,PUNCT,closing quotation mark,'',O,
6,and,CCONJ,"conjunction, coordinating",CC,O,
6,procession,NOUN,"noun, singular or mass",NN,O,
6,—,PUNCT,"punctuation mark, colon or ellipsis",:,O,
6,have,AUX,"verb, non-3rd person singular present",VBP,O,
6,also,ADV,adverb,RB,O,
6,been,AUX,"verb, past participle",VBN,O,
6,organized,VERB,"verb, past participle",VBN,O,
6,.,PUNCT,"punctuation mark, sentence closer",.,O,
7,"
",SPACE,whitespace,_SP,O,
7,Law,NOUN,"noun, singular or mass",NN,B,PERSON
7,enforcers,NOUN,"noun, plural",NNS,O,
7,are,AUX,"verb, non-3rd person singular present",VBP,O,
7,also,ADV,adverb,RB,O,
7,expected,VERB,"verb, past participle",VBN,O,
7,to,PART,"infinitival ""to""",TO,O,
7,limit,VERB,"verb, base form",VB,O,
7,foot,NOUN,"noun, singular or mass",NN,O,
7,traffic,NOUN,"noun, singular or mass",NN,O,
7,around,ADP,"conjunction, subordinating or preposition",IN,O,
7,the,DET,determiner,DT,O,
7,Quiapo,PROPN,"noun, proper singular",NNP,O,
7,area,NOUN,"noun, singular or mass",NN,O,
7,during,ADP,"conjunction, subordinating or preposition",IN,O,
7,the,DET,determiner,DT,O,
7,celebration,NOUN,"noun, singular or mass",NN,O,
7,.,PUNCT,"punctuation mark, sentence closer",.,O,
8,"
",SPACE,whitespace,_SP,O,
8,However,ADV,adverb,RB,O,
8,",",PUNCT,"punctuation mark, comma",",",O,
8,smaller,ADJ,"adjective, comparative",JJR,O,
8,events,NOUN,"noun, plural",NNS,O,
8,in,ADP,"conjunction, subordinating or preposition",IN,O,
8,other,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
8,churches,NOUN,"noun, plural",NNS,O,
8,and,CCONJ,"conjunction, coordinating",CC,O,
8,communities,NOUN,"noun, plural",NNS,O,
8,pose,VERB,"verb, non-3rd person singular present",VBP,O,
8,the,DET,determiner,DT,O,
8,risk,NOUN,"noun, singular or mass",NN,O,
8,of,ADP,"conjunction, subordinating or preposition",IN,O,
8,increased,VERB,"verb, past participle",VBN,O,
8,spread,NOUN,"noun, singular or mass",NN,O,
8,of,ADP,"conjunction, subordinating or preposition",IN,O,
8,COVID-19,NOUN,"noun, singular or mass",NN,O,
8,and,CCONJ,"conjunction, coordinating",CC,O,
8,its,PRON,"pronoun, possessive",PRP$,O,
8,variants,NOUN,"noun, plural",NNS,O,
8,.,PUNCT,"punctuation mark, sentence closer",.,O,
9,"
",SPACE,whitespace,_SP,O,
9,https://www.who.int/philippines/news/detail/05-01-2022-doh-who-urge-devotees-to-safely-observe-traslacion-at-home,PROPN,"noun, proper singular",NNP,O,
9, ,SPACE,whitespace,_SP,O,
9,1/2,NUM,cardinal number,CD,O,
9, ,SPACE,whitespace,_SP,O,
9,3/18/22,NUM,cardinal number,CD,B,PRODUCT
9,",",PUNCT,"punctuation mark, comma",",",O,
9,12:51,NUM,cardinal number,CD,B,TIME
9,AM,PROPN,"noun, proper singular",NNP,I,TIME
9, ,SPACE,whitespace,_SP,O,
9,DOH,PROPN,"noun, proper singular",NNP,O,
9,",",PUNCT,"punctuation mark, comma",",",O,
9,WHO,PRON,"wh-pronoun, personal",WP,O,
9,urge,VERB,"verb, non-3rd person singular present",VBP,O,
9,devotees,NOUN,"noun, plural",NNS,O,
9,to,PART,"infinitival ""to""",TO,O,
9,safely,ADV,adverb,RB,O,
9,observe,VERB,"verb, base form",VB,O,
9,Traslacion,PROPN,"noun, proper singular",NNP,B,PRODUCT
9,at,ADP,"conjunction, subordinating or preposition",IN,O,
9,home,NOUN,"noun, singular or mass",NN,O,
9, ,SPACE,whitespace,_SP,O,
9,“,PUNCT,opening quotation mark,``,O,
9,We,PRON,"pronoun, personal",PRP,O,
9,have,AUX,"verb, non-3rd person singular present",VBP,O,
9,witnessed,VERB,"verb, past participle",VBN,O,
9,this,DET,determiner,DT,B,DATE
9,past,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,I,DATE
9,holiday,NOUN,"noun, singular or mass",NN,I,DATE
9,season,NOUN,"noun, singular or mass",NN,I,DATE
9,how,SCONJ,wh-adverb,WRB,O,
9,fast,ADV,adverb,RB,O,
9,",",PUNCT,"punctuation mark, comma",",",O,
9,how,SCONJ,wh-adverb,WRB,O,
9,rapid,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
9,the,DET,determiner,DT,O,
9,rise,NOUN,"noun, singular or mass",NN,O,
9,has,AUX,"verb, 3rd person singular present",VBZ,O,
9,been,AUX,"verb, past participle",VBN,O,
9,of,ADP,"conjunction, subordinating or preposition",IN,O,
9,COVID-19,NOUN,"noun, singular or mass",NN,O,
9,because,SCONJ,"conjunction, subordinating or preposition",IN,O,
9,of,ADP,"conjunction, subordinating or preposition",IN,O,
9,social,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
9,gatherings,NOUN,"noun, plural",NNS,O,
9,.,PUNCT,"punctuation mark, sentence closer",.,O,
10,"
",SPACE,whitespace,_SP,O,
10,We,PRON,"pronoun, personal",PRP,O,
10,would,AUX,"verb, modal auxiliary",MD,O,
10,like,VERB,"verb, base form",VB,O,
10,to,PART,"infinitival ""to""",TO,O,
10,remind,VERB,"verb, base form",VB,O,
10,everyone,PRON,"noun, singular or mass",NN,O,
10,to,PART,"infinitival ""to""",TO,O,
10,be,AUX,"verb, base form",VB,O,
10,vigilant,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
10,and,CCONJ,"conjunction, coordinating",CC,O,
10,continue,VERB,"verb, base form",VB,O,
10,practicing,VERB,"verb, gerund or present participle",VBG,O,
10,the,DET,determiner,DT,O,
10,necessary,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
10,health,NOUN,"noun, singular or mass",NN,O,
10,protocols,NOUN,"noun, plural",NNS,O,
10,amid,ADP,"conjunction, subordinating or preposition",IN,O,
10,the,DET,determiner,DT,O,
10,impending,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
10,threat,NOUN,"noun, singular or mass",NN,O,
10,of,ADP,"conjunction, subordinating or preposition",IN,O,
10,the,DET,determiner,DT,O,
10,Omicron,PROPN,"noun, proper singular",NNP,B,ORG
10,variant,NOUN,"noun, singular or mass",NN,O,
10,and,CCONJ,"conjunction, coordinating",CC,O,
10,the,DET,determiner,DT,O,
10,continued,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
10,rise,NOUN,"noun, singular or mass",NN,O,
10,in,ADP,"conjunction, subordinating or preposition",IN,O,
10,cases,NOUN,"noun, plural",NNS,O,
10,these,DET,determiner,DT,B,DATE
10,past,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,I,DATE
10,days,NOUN,"noun, plural",NNS,I,DATE
10,.,PUNCT,"punctuation mark, sentence closer",.,O,
11,"
",SPACE,whitespace,_SP,O,
11,In,ADP,"conjunction, subordinating or preposition",IN,O,
11,light,NOUN,"noun, singular or mass",NN,O,
11,of,ADP,"conjunction, subordinating or preposition",IN,O,
11,these,PRON,determiner,DT,O,
11,",",PUNCT,"punctuation mark, comma",",",O,
11,we,PRON,"pronoun, personal",PRP,O,
11,are,AUX,"verb, non-3rd person singular present",VBP,O,
11,calling,VERB,"verb, gerund or present participle",VBG,O,
11,for,ADP,"conjunction, subordinating or preposition",IN,O,
11,a,DET,determiner,DT,O,
11,suspension,NOUN,"noun, singular or mass",NN,O,
11,of,ADP,"conjunction, subordinating or preposition",IN,O,
11,all,DET,determiner,DT,O,
11,mass,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
11,gatherings,NOUN,"noun, plural",NNS,O,
11,”,PUNCT,closing quotation mark,'',O,
11,",",PUNCT,"punctuation mark, comma",",",O,
11,said,VERB,"verb, past tense",VBD,O,
11,Secretary,PROPN,"noun, proper singular",NNP,O,
11,of,ADP,"conjunction, subordinating or preposition",IN,O,
11,Health,PROPN,"noun, proper singular",NNP,B,ORG
11,Francisco,PROPN,"noun, proper singular",NNP,I,ORG
11,T.,PROPN,"noun, proper singular",NNP,I,ORG
11,Duque,PROPN,"noun, proper singular",NNP,I,ORG
11,III,PROPN,"noun, proper singular",NNP,I,ORG
11,.,PUNCT,"punctuation mark, sentence closer",.,O,
12,"
",SPACE,whitespace,_SP,O,
12,“,PUNCT,opening quotation mark,``,O,
12,Our,PRON,"pronoun, possessive",PRP$,O,
12,alarming,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
12,situation,NOUN,"noun, singular or mass",NN,O,
12,calls,VERB,"verb, 3rd person singular present",VBZ,O,
12,for,ADP,"conjunction, subordinating or preposition",IN,O,
12,safer,ADJ,"adjective, comparative",JJR,O,
12,ways,NOUN,"noun, plural",NNS,O,
12,to,PART,"infinitival ""to""",TO,O,
12,celebrate,VERB,"verb, base form",VB,O,
12,traditions,NOUN,"noun, plural",NNS,O,
12,.,PUNCT,"punctuation mark, sentence closer",.,O,
13,"
",SPACE,whitespace,_SP,O,
13,We,PRON,"pronoun, personal",PRP,O,
13,appeal,VERB,"verb, non-3rd person singular present",VBP,O,
13,to,ADP,"conjunction, subordinating or preposition",IN,O,
13,devotees,NOUN,"noun, plural",NNS,O,
13,—,PUNCT,"punctuation mark, colon or ellipsis",:,O,
13,please,INTJ,interjection,UH,O,
13,stay,VERB,"verb, base form",VB,O,
13,at,ADP,"conjunction, subordinating or preposition",IN,O,
13,home,NOUN,"noun, singular or mass",NN,O,
13,to,PART,"infinitival ""to""",TO,O,
13,help,VERB,"verb, base form",VB,O,
13,limit,VERB,"verb, base form",VB,O,
13,the,DET,determiner,DT,O,
13,spread,NOUN,"noun, singular or mass",NN,O,
13,of,ADP,"conjunction, subordinating or preposition",IN,O,
13,COVID-19,NOUN,"noun, singular or mass",NN,O,
13,and,CCONJ,"conjunction, coordinating",CC,O,
13,its,PRON,"pronoun, possessive",PRP$,O,
13,variants,NOUN,"noun, plural",NNS,O,
13,.,PUNCT,"punctuation mark, sentence closer",.,O,
14,"
",SPACE,whitespace,_SP,O,
14,Doing,VERB,"verb, gerund or present participle",VBG,O,
14,so,ADV,adverb,RB,O,
14,is,AUX,"verb, 3rd person singular present",VBZ,O,
14,an,DET,determiner,DT,O,
14,act,NOUN,"noun, singular or mass",NN,O,
14,of,ADP,"conjunction, subordinating or preposition",IN,O,
14,kindness,NOUN,"noun, singular or mass",NN,O,
14,.,PUNCT,"punctuation mark, sentence closer",.,O,
15,"
",SPACE,whitespace,_SP,O,
15,We,PRON,"pronoun, personal",PRP,O,
15,need,VERB,"verb, non-3rd person singular present",VBP,O,
15,to,PART,"infinitival ""to""",TO,O,
15,protect,VERB,"verb, base form",VB,O,
15,each,DET,determiner,DT,O,
15,other,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
15,",",PUNCT,"punctuation mark, comma",",",O,
15,especially,ADV,adverb,RB,O,
15,our,PRON,"pronoun, possessive",PRP$,O,
15,elderly,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
15,and,CCONJ,"conjunction, coordinating",CC,O,
15,those,PRON,determiner,DT,O,
15,with,ADP,"conjunction, subordinating or preposition",IN,O,
15,underlying,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
15,medical,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
15,conditions,NOUN,"noun, plural",NNS,O,
15,.,PUNCT,"punctuation mark, sentence closer",.,O,
16,"
",SPACE,whitespace,_SP,O,
16,They,PRON,"pronoun, personal",PRP,O,
16,can,AUX,"verb, modal auxiliary",MD,O,
16,most,ADV,"adverb, superlative",RBS,O,
16,easily,ADV,adverb,RB,O,
16,catch,VERB,"verb, base form",VB,O,
16,the,DET,determiner,DT,O,
16,virus,NOUN,"noun, singular or mass",NN,O,
16,and,CCONJ,"conjunction, coordinating",CC,O,
16,possibly,ADV,adverb,RB,O,
16,suffer,VERB,"verb, base form",VB,O,
16,its,PRON,"pronoun, possessive",PRP$,O,
16,worst,ADJ,"adjective, superlative",JJS,O,
16,consequences,NOUN,"noun, plural",NNS,O,
16,—,PUNCT,"punctuation mark, colon or ellipsis",:,O,
16,severe,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
16,disease,NOUN,"noun, singular or mass",NN,O,
16,",",PUNCT,"punctuation mark, comma",",",O,
16,hospitalization,NOUN,"noun, singular or mass",NN,O,
16,",",PUNCT,"punctuation mark, comma",",",O,
16,and,CCONJ,"conjunction, coordinating",CC,O,
16,even,ADV,adverb,RB,O,
16,death,NOUN,"noun, singular or mass",NN,O,
16,”,PUNCT,closing quotation mark,'',O,
16,",",PUNCT,"punctuation mark, comma",",",O,
16,said,VERB,"verb, past tense",VBD,O,
16,Dr,PROPN,"noun, proper singular",NNP,O,
16,Rabindra,PROPN,"noun, proper singular",NNP,B,PERSON
16,Abeyasinghe,PROPN,"noun, proper singular",NNP,I,PERSON
16,",",PUNCT,"punctuation mark, comma",",",O,
16,WHO,PRON,"wh-pronoun, personal",WP,O,
16,Representative,VERB,"verb, non-3rd person singular present",VBP,O,
16,to,ADP,"conjunction, subordinating or preposition",IN,O,
16,the,DET,determiner,DT,O,
16,Philippines,PROPN,"noun, proper plural",NNPS,B,GPE
16,.,PUNCT,"punctuation mark, sentence closer",.,O,
17,"
",SPACE,whitespace,_SP,O,
17,“,PUNCT,opening quotation mark,``,O,
17,To,ADP,"conjunction, subordinating or preposition",IN,O,
17,our,PRON,"pronoun, possessive",PRP$,O,
17,barangay,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
17,leaders,NOUN,"noun, plural",NNS,O,
17,",",PUNCT,"punctuation mark, comma",",",O,
17,we,PRON,"pronoun, personal",PRP,O,
17,strongly,ADV,adverb,RB,O,
17,urge,VERB,"verb, non-3rd person singular present",VBP,O,
17,you,PRON,"pronoun, personal",PRP,O,
17,to,PART,"infinitival ""to""",TO,O,
17,consistently,ADV,adverb,RB,O,
17,implement,VERB,"verb, base form",VB,O,
17,the,DET,determiner,DT,O,
17,measures,NOUN,"noun, plural",NNS,O,
17,to,PART,"infinitival ""to""",TO,O,
17,prevent,VERB,"verb, base form",VB,O,
17,unsafe,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
17,gatherings,NOUN,"noun, plural",NNS,O,
17,in,ADP,"conjunction, subordinating or preposition",IN,O,
17,your,PRON,"pronoun, possessive",PRP$,O,
17,community,NOUN,"noun, singular or mass",NN,O,
17,",",PUNCT,"punctuation mark, comma",",",O,
17,”,PUNCT,closing quotation mark,'',O,
17,Dr,PROPN,"noun, proper singular",NNP,O,
